Final statisticsStock: MRNA, 
2024-11-25 03:20:15,456 - Short Sell 209.00 shares at 94.88 on 2024-03-05 19:30:00+00:00
2024-11-25 03:20:15,456 - Short Sell 209.00 shares at 94.86 on 2024-03-05 20:00:00+00:00
2024-11-25 03:20:15,456 - Short Sell 209.00 shares at 95.12 on 2024-03-05 20:15:00+00:00
2024-11-25 03:20:15,456 - Short Sell 209.00 shares at 95.02 on 2024-03-05 20:30:00+00:00
2024-11-25 03:20:15,456 - Short Sell 207.00 shares at 95.58 on 2024-03-05 20:45:00+00:00
2024-11-25 03:20:15,456 - Buy to cover -2715.00 shares at 96.97 on 2024-03-06 14:30:00+00:00 (Exit: Stop_loss, Profit: -5279.609999999984, Duration: 1260.0 minutes)
2024-11-25 03:20:15,457 - Long Buy 203.00 shares at 97.28 on 2024-03-07 14:45:00+00:00
2024-11-25 03:20:15,457 - Long Buy 199.00 shares at 96.99 on 2024-03-07 15:00:00+00:00
2024-11-25 03:20:15,457 - Sell to close 402.00 shares at 98.24 on 2024-03-07 15:30:00+00:00 (Exit: Signal, Profit: 443.6299999999983, Duration: 45.0 minutes)
2024-11-25 03:20:15,457 - Short Sell 200.00 shares at 98.76 on 2024-03-07 16:00:00+00:00
2024-11-25 03:20:15,457 - Short Sell 199.00 shares at 99.17 on 2024-03-07 16:15:00+00:00
2024-11-25 03:20:15,457 - Short Sell 199.00 shares at 99.12 on 2024-03-07 16:30:00+00:00
2024-11-25 03:20:15,457 - Short Sell 198.00 shares at 99.49 on 2024-03-07 16:45:00+00:00
2024-11-25 03:20:15,457 - Short Sell 200.00 shares at 99.0 on 2024-03-07 17:00:00+00:00
2024-11-25 03:20:15,457 - Short Sell 199.00 shares at 99.09 on 2024-03-07 17:15:00+00:00
2024-11-25 03:20:15,457 - Short Sell 199.00 shares at 99.23 on 2024-03-07 17:30:00+00:00
2024-11-25 03:20:15,457 - Short Sell 198.00 shares at 99.49 on 2024-03-07 17:45:00+00:00
2024-11-25 03:20:15,457 - Short Sell 198.00 shares at 99.67 on 2024-03-07 18:00:00+00:00
2024-11-25 03:20:15,457 - Short Sell 198.00 shares at 99.66 on 2024-03-07 18:15:00+00:00
2024-11-25 03:20:15,457 - Short Sell 198.00 shares at 99.56 on 2024-03-07 18:30:00+00:00
2024-11-25 03:20:15,457 - Short Sell 199.00 shares at 99.11 on 2024-03-07 18:45:00+00:00
2024-11-25 03:20:15,457 - Short Sell 199.00 shares at 99.12 on 2024-03-07 19:00:00+00:00
2024-11-25 03:20:15,457 - Short Sell 199.00 shares at 99.25 on 2024-03-07 19:15:00+00:00
2024-11-25 03:20:15,457 - Short Sell 198.00 shares at 99.62 on 2024-03-07 19:30:00+00:00
2024-11-25 03:20:15,457 - Short Sell 198.00 shares at 99.65 on 2024-03-07 19:45:00+00:00
2024-11-25 03:20:15,457 - Short Sell 198.00 shares at 99.61 on 2024-03-07 20:00:00+00:00
2024-11-25 03:20:15,457 - Short Sell 198.00 shares at 99.6 on 2024-03-07 20:30:00+00:00
2024-11-25 03:20:15,457 - Short Sell 198.00 shares at 99.81 on 2024-03-08 14:30:00+00:00
2024-11-25 03:20:15,457 - Short Sell 195.00 shares at 100.69 on 2024-03-08 14:45:00+00:00
2024-11-25 03:20:15,457 - Short Sell 196.00 shares at 100.3 on 2024-03-08 15:00:00+00:00
2024-11-25 03:20:15,457 - Short Sell 196.00 shares at 100.33 on 2024-03-08 15:15:00+00:00
2024-11-25 03:20:15,457 - Short Sell 196.00 shares at 100.36 on 2024-03-08 15:30:00+00:00
2024-11-25 03:20:15,457 - Short Sell 197.00 shares at 99.9 on 2024-03-08 15:45:00+00:00
2024-11-25 03:20:15,457 - Short Sell 197.00 shares at 100.1 on 2024-03-08 16:00:00+00:00
2024-11-25 03:20:15,457 - Short Sell 196.00 shares at 100.22 on 2024-03-08 16:15:00+00:00
2024-11-25 03:20:15,457 - Buy to cover -5146.00 shares at 100.83 on 2024-03-08 16:30:00+00:00 (Exit: Stop_loss, Profit: -6283.8799999999765, Duration: 1470.0 minutes)
2024-11-25 03:20:15,458 - Short Sell 177.00 shares at 110.87 on 2024-03-11 13:30:00+00:00
2024-11-25 03:20:15,458 - Short Sell 175.00 shares at 112.31 on 2024-03-11 13:45:00+00:00
2024-11-25 03:20:15,458 - Short Sell 174.00 shares at 112.87 on 2024-03-11 14:00:00+00:00
2024-11-25 03:20:15,458 - Buy to cover -526.00 shares at 114.2 on 2024-03-11 14:15:00+00:00 (Exit: Stop_loss, Profit: -1151.5799999999924, Duration: 45.0 minutes)
2024-11-25 03:20:15,458 - Long Buy 177.00 shares at 110.97 on 2024-03-12 13:45:00+00:00
2024-11-25 03:20:15,458 - Long Buy 174.00 shares at 110.51 on 2024-03-12 14:00:00+00:00
2024-11-25 03:20:15,458 - Long Buy 170.00 shares at 110.95 on 2024-03-12 14:15:00+00:00
2024-11-25 03:20:15,458 - Long Buy 167.00 shares at 110.7 on 2024-03-12 14:30:00+00:00
2024-11-25 03:20:15,458 - Long Buy 163.00 shares at 110.57 on 2024-03-12 14:45:00+00:00
2024-11-25 03:20:15,458 - Long Buy 160.00 shares at 110.55 on 2024-03-12 15:00:00+00:00
2024-11-25 03:20:15,458 - Long Buy 157.00 shares at 110.28 on 2024-03-12 15:15:00+00:00
2024-11-25 03:20:15,458 - Long Buy 154.00 shares at 110.68 on 2024-03-12 15:30:00+00:00
2024-11-25 03:20:15,458 - Long Buy 150.00 shares at 111.12 on 2024-03-12 15:45:00+00:00
2024-11-25 03:20:15,458 - Long Buy 148.00 shares at 110.61 on 2024-03-12 16:00:00+00:00
2024-11-25 03:20:15,458 - Long Buy 145.00 shares at 110.39 on 2024-03-12 16:30:00+00:00
2024-11-25 03:20:15,458 - Long Buy 142.00 shares at 110.55 on 2024-03-12 17:00:00+00:00
2024-11-25 03:20:15,458 - Long Buy 139.00 shares at 110.91 on 2024-03-12 17:15:00+00:00
2024-11-25 03:20:15,458 - Sell to close 2046.00 shares at 110.96 on 2024-03-12 17:30:00+00:00 (Exit: Signal, Profit: 576.3199999999993, Duration: 225.0 minutes)
2024-11-25 03:20:15,458 - Long Buy 178.00 shares at 110.11 on 2024-03-12 18:00:00+00:00
2024-11-25 03:20:15,458 - Long Buy 174.00 shares at 110.24 on 2024-03-12 18:15:00+00:00
2024-11-25 03:20:15,459 - Long Buy 171.00 shares at 110.26 on 2024-03-12 18:45:00+00:00
2024-11-25 03:20:15,459 - Long Buy 168.00 shares at 110.09 on 2024-03-12 19:00:00+00:00
2024-11-25 03:20:15,459 - Sell to close 691.00 shares at 112.29 on 2024-03-13 13:45:00+00:00 (Exit: Signal, Profit: 1461.470000000003, Duration: 1185.0 minutes)
2024-11-25 03:20:15,459 - Short Sell 175.00 shares at 111.91 on 2024-03-13 14:15:00+00:00
2024-11-25 03:20:15,459 - Short Sell 176.00 shares at 111.29 on 2024-03-13 14:45:00+00:00
2024-11-25 03:20:15,459 - Buy to cover -351.00 shares at 110.45 on 2024-03-13 15:15:00+00:00 (Exit: Signal, Profit: 403.33999999999855, Duration: 60.0 minutes)
2024-11-25 03:20:15,459 - Long Buy 178.00 shares at 110.29 on 2024-03-13 15:30:00+00:00
2024-11-25 03:20:15,459 - Long Buy 175.00 shares at 109.94 on 2024-03-13 15:45:00+00:00
2024-11-25 03:20:15,459 - Long Buy 174.00 shares at 108.2 on 2024-03-13 16:00:00+00:00
2024-11-25 03:20:15,459 - Long Buy 170.00 shares at 108.46 on 2024-03-13 16:15:00+00:00
2024-11-25 03:20:15,459 - Sell to close 697.00 shares at 108.08 on 2024-03-13 16:30:00+00:00 (Exit: Stop_loss, Profit: -804.3600000000014, Duration: 60.0 minutes)
2024-11-25 03:20:15,459 - Long Buy 186.00 shares at 105.49 on 2024-03-14 13:30:00+00:00
2024-11-25 03:20:15,459 - Long Buy 185.00 shares at 104.13 on 2024-03-14 13:45:00+00:00
2024-11-25 03:20:15,459 - Long Buy 181.00 shares at 103.91 on 2024-03-14 14:00:00+00:00
2024-11-25 03:20:15,459 - Long Buy 177.00 shares at 104.45 on 2024-03-14 14:15:00+00:00
2024-11-25 03:20:15,459 - Long Buy 174.00 shares at 104.22 on 2024-03-14 14:30:00+00:00
2024-11-25 03:20:15,459 - Long Buy 170.00 shares at 104.38 on 2024-03-14 14:45:00+00:00
2024-11-25 03:20:15,459 - Long Buy 167.00 shares at 104.02 on 2024-03-14 15:00:00+00:00
2024-11-25 03:20:15,459 - Long Buy 163.00 shares at 104.27 on 2024-03-14 15:15:00+00:00
2024-11-25 03:20:15,459 - Long Buy 160.00 shares at 104.43 on 2024-03-14 15:30:00+00:00
2024-11-25 03:20:15,459 - Long Buy 158.00 shares at 103.4 on 2024-03-14 15:45:00+00:00
2024-11-25 03:20:15,459 - Sell to close 1721.00 shares at 103.21 on 2024-03-14 16:00:00+00:00 (Exit: Stop_loss, Profit: -1848.3700000000474, Duration: 150.0 minutes)
2024-11-25 03:20:15,460 - Long Buy 193.00 shares at 101.62 on 2024-03-15 15:00:00+00:00
2024-11-25 03:20:15,460 - Long Buy 189.00 shares at 101.65 on 2024-03-15 15:45:00+00:00
2024-11-25 03:20:15,460 - Long Buy 185.00 shares at 101.47 on 2024-03-15 16:00:00+00:00
2024-11-25 03:20:15,460 - Long Buy 182.00 shares at 101.52 on 2024-03-15 16:15:00+00:00
2024-11-25 03:20:15,460 - Long Buy 178.00 shares at 101.54 on 2024-03-15 16:45:00+00:00
2024-11-25 03:20:15,460 - Sell to close 927.00 shares at 102.21 on 2024-03-15 17:30:00+00:00 (Exit: Signal, Profit: 601.4499999999962, Duration: 150.0 minutes)
2024-11-25 03:20:15,460 - Short Sell 192.00 shares at 102.31 on 2024-03-15 17:45:00+00:00
2024-11-25 03:20:15,460 - Short Sell 190.00 shares at 102.95 on 2024-03-15 18:00:00+00:00
2024-11-25 03:20:15,460 - Short Sell 190.00 shares at 103.08 on 2024-03-15 18:15:00+00:00
2024-11-25 03:20:15,460 - Short Sell 190.00 shares at 103.38 on 2024-03-15 18:30:00+00:00
2024-11-25 03:20:15,460 - Short Sell 189.00 shares at 103.53 on 2024-03-15 18:45:00+00:00
2024-11-25 03:20:15,460 - Short Sell 189.00 shares at 103.89 on 2024-03-15 19:00:00+00:00
2024-11-25 03:20:15,460 - Short Sell 188.00 shares at 104.13 on 2024-03-15 19:15:00+00:00
2024-11-25 03:20:15,460 - Short Sell 189.00 shares at 103.82 on 2024-03-15 19:30:00+00:00
2024-11-25 03:20:15,460 - Short Sell 189.00 shares at 103.89 on 2024-03-15 19:45:00+00:00
2024-11-25 03:20:15,460 - Buy to cover -1706.00 shares at 104.45 on 2024-03-18 13:30:00+00:00 (Exit: Stop_loss, Profit: -1724.2700000000068, Duration: 4065.0 minutes)
2024-11-25 03:20:15,460 - Long Buy 189.00 shares at 103.5 on 2024-03-19 13:30:00+00:00
2024-11-25 03:20:15,461 - Long Buy 186.00 shares at 103.26 on 2024-03-19 13:45:00+00:00
2024-11-25 03:20:15,461 - Long Buy 181.00 shares at 103.6 on 2024-03-19 14:00:00+00:00
2024-11-25 03:20:15,461 - Long Buy 178.00 shares at 103.26 on 2024-03-19 14:15:00+00:00
2024-11-25 03:20:15,461 - Sell to close 734.00 shares at 104.57 on 2024-03-19 15:00:00+00:00 (Exit: Signal, Profit: 854.6399999999878, Duration: 90.0 minutes)
2024-11-25 03:20:15,461 - Short Sell 186.00 shares at 105.32 on 2024-03-19 15:30:00+00:00
2024-11-25 03:20:15,461 - Short Sell 186.00 shares at 105.39 on 2024-03-19 15:45:00+00:00
2024-11-25 03:20:15,461 - Short Sell 186.00 shares at 105.32 on 2024-03-19 16:00:00+00:00
2024-11-25 03:20:15,461 - Short Sell 186.00 shares at 105.19 on 2024-03-19 16:30:00+00:00
2024-11-25 03:20:15,461 - Short Sell 186.00 shares at 105.44 on 2024-03-19 17:00:00+00:00
2024-11-25 03:20:15,461 - Buy to cover -930.00 shares at 104.86 on 2024-03-19 18:45:00+00:00 (Exit: Signal, Profit: 438.9599999999946, Duration: 195.0 minutes)
2024-11-25 03:20:15,461 - Long Buy 187.00 shares at 104.83 on 2024-03-19 19:00:00+00:00
2024-11-25 03:20:15,461 - Long Buy 184.00 shares at 104.65 on 2024-03-19 19:15:00+00:00
2024-11-25 03:20:15,461 - Sell to close 371.00 shares at 101.36 on 2024-03-20 13:30:00+00:00 (Exit: Stop_loss, Profit: -1254.2499999999993, Duration: 1110.0 minutes)
2024-11-25 03:20:15,461 - Short Sell 185.00 shares at 105.86 on 2024-03-21 13:30:00+00:00
2024-11-25 03:20:15,461 - Short Sell 187.00 shares at 104.92 on 2024-03-21 13:45:00+00:00
2024-11-25 03:20:15,461 - Short Sell 187.00 shares at 104.65 on 2024-03-21 14:00:00+00:00
2024-11-25 03:20:15,461 - Short Sell 187.00 shares at 104.93 on 2024-03-21 14:15:00+00:00
2024-11-25 03:20:15,462 - Short Sell 187.00 shares at 104.85 on 2024-03-21 14:30:00+00:00
2024-11-25 03:20:15,462 - Short Sell 186.00 shares at 105.25 on 2024-03-21 14:45:00+00:00
2024-11-25 03:20:15,462 - Short Sell 187.00 shares at 104.8 on 2024-03-21 15:00:00+00:00
2024-11-25 03:20:15,462 - Short Sell 187.00 shares at 104.86 on 2024-03-21 15:15:00+00:00
2024-11-25 03:20:15,462 - Short Sell 186.00 shares at 105.35 on 2024-03-21 15:30:00+00:00
2024-11-25 03:20:15,462 - Short Sell 185.00 shares at 105.82 on 2024-03-21 15:45:00+00:00
2024-11-25 03:20:15,462 - Short Sell 184.00 shares at 106.08 on 2024-03-21 16:00:00+00:00
2024-11-25 03:20:15,462 - Short Sell 185.00 shares at 105.84 on 2024-03-21 16:15:00+00:00
2024-11-25 03:20:15,462 - Short Sell 185.00 shares at 105.56 on 2024-03-21 16:30:00+00:00
2024-11-25 03:20:15,462 - Short Sell 185.00 shares at 105.68 on 2024-03-21 16:45:00+00:00
2024-11-25 03:20:15,462 - Buy to cover -2603.00 shares at 105.56 on 2024-03-21 17:00:00+00:00 (Exit: Signal, Profit: -636.88999999996, Duration: 210.0 minutes)
2024-11-25 03:20:15,462 - Long Buy 186.00 shares at 105.35 on 2024-03-21 17:15:00+00:00
2024-11-25 03:20:15,462 - Long Buy 182.00 shares at 105.16 on 2024-03-21 17:30:00+00:00
2024-11-25 03:20:15,462 - Long Buy 179.00 shares at 104.8 on 2024-03-21 17:45:00+00:00
2024-11-25 03:20:15,462 - Long Buy 176.00 shares at 104.83 on 2024-03-21 18:00:00+00:00
2024-11-25 03:20:15,462 - Long Buy 172.00 shares at 104.88 on 2024-03-21 18:15:00+00:00
2024-11-25 03:20:15,462 - Long Buy 169.00 shares at 104.83 on 2024-03-21 18:30:00+00:00
2024-11-25 03:20:15,462 - Long Buy 165.00 shares at 104.85 on 2024-03-21 18:45:00+00:00
2024-11-25 03:20:15,462 - Long Buy 162.00 shares at 104.88 on 2024-03-21 19:15:00+00:00
2024-11-25 03:20:15,462 - Long Buy 159.00 shares at 104.88 on 2024-03-21 19:30:00+00:00
2024-11-25 03:20:15,462 - Long Buy 157.00 shares at 104.08 on 2024-03-21 19:45:00+00:00
2024-11-25 03:20:15,462 - Long Buy 153.00 shares at 104.28 on 2024-03-22 13:30:00+00:00
2024-11-25 03:20:15,462 - Long Buy 149.00 shares at 104.79 on 2024-03-22 14:15:00+00:00
2024-11-25 03:20:15,462 - Long Buy 147.00 shares at 104.59 on 2024-03-22 14:30:00+00:00
2024-11-25 03:20:15,462 - Long Buy 143.00 shares at 104.94 on 2024-03-22 14:45:00+00:00
2024-11-25 03:20:15,462 - Long Buy 140.00 shares at 105.12 on 2024-03-22 15:00:00+00:00
2024-11-25 03:20:15,462 - Long Buy 138.00 shares at 105.02 on 2024-03-22 15:30:00+00:00
2024-11-25 03:20:15,462 - Long Buy 135.00 shares at 105.08 on 2024-03-22 15:45:00+00:00
2024-11-25 03:20:15,462 - Long Buy 132.00 shares at 104.69 on 2024-03-22 16:00:00+00:00
2024-11-25 03:20:15,462 - Long Buy 129.00 shares at 105.0 on 2024-03-22 16:15:00+00:00
2024-11-25 03:20:15,462 - Long Buy 127.00 shares at 104.88 on 2024-03-22 16:45:00+00:00
2024-11-25 03:20:15,462 - Long Buy 125.00 shares at 104.88 on 2024-03-22 17:00:00+00:00
2024-11-25 03:20:15,463 - Sell to close 3225.00 shares at 105.5 on 2024-03-22 18:00:00+00:00 (Exit: Signal, Profit: 2092.1799999999953, Duration: 1485.0 minutes)
2024-11-25 03:20:15,463 - Long Buy 186.00 shares at 105.23 on 2024-03-22 18:15:00+00:00
2024-11-25 03:20:15,463 - Sell to close 186.00 shares at 107.67 on 2024-03-25 13:30:00+00:00 (Exit: Profit_take, Profit: 453.83999999999696, Duration: 4035.0 minutes)
2024-11-25 03:20:15,463 - Short Sell 181.00 shares at 108.3 on 2024-03-25 13:45:00+00:00
2024-11-25 03:20:15,463 - Short Sell 180.00 shares at 108.96 on 2024-03-25 14:00:00+00:00
2024-11-25 03:20:15,463 - Short Sell 181.00 shares at 108.13 on 2024-03-25 14:15:00+00:00
2024-11-25 03:20:15,463 - Short Sell 182.00 shares at 107.71 on 2024-03-25 14:30:00+00:00
2024-11-25 03:20:15,463 - Short Sell 182.00 shares at 107.77 on 2024-03-25 14:45:00+00:00
2024-11-25 03:20:15,463 - Short Sell 184.00 shares at 106.92 on 2024-03-25 15:00:00+00:00
2024-11-25 03:20:15,463 - Short Sell 183.00 shares at 107.09 on 2024-03-25 15:15:00+00:00
2024-11-25 03:20:15,463 - Short Sell 183.00 shares at 107.41 on 2024-03-25 16:30:00+00:00
2024-11-25 03:20:15,463 - Short Sell 182.00 shares at 107.57 on 2024-03-25 16:45:00+00:00
2024-11-25 03:20:15,463 - Short Sell 182.00 shares at 107.73 on 2024-03-25 17:00:00+00:00
2024-11-25 03:20:15,463 - Short Sell 181.00 shares at 108.16 on 2024-03-25 17:15:00+00:00
2024-11-25 03:20:15,463 - Short Sell 180.00 shares at 108.67 on 2024-03-25 17:30:00+00:00
2024-11-25 03:20:15,463 - Buy to cover -2181.00 shares at 109.39 on 2024-03-25 17:45:00+00:00 (Exit: Stop_loss, Profit: -3326.6599999999958, Duration: 240.0 minutes)
2024-11-25 03:20:15,463 - Long Buy 179.00 shares at 108.89 on 2024-03-26 14:15:00+00:00
2024-11-25 03:20:15,463 - Long Buy 176.00 shares at 108.99 on 2024-03-26 14:30:00+00:00
2024-11-25 03:20:15,463 - Long Buy 173.00 shares at 108.57 on 2024-03-26 14:45:00+00:00
2024-11-25 03:20:15,463 - Long Buy 168.00 shares at 109.39 on 2024-03-26 15:00:00+00:00
2024-11-25 03:20:15,463 - Long Buy 165.00 shares at 109.25 on 2024-03-26 15:15:00+00:00
2024-11-25 03:20:15,464 - Long Buy 162.00 shares at 109.02 on 2024-03-26 15:30:00+00:00
2024-11-25 03:20:15,464 - Long Buy 159.00 shares at 108.87 on 2024-03-26 15:45:00+00:00
2024-11-25 03:20:15,464 - Long Buy 155.00 shares at 109.26 on 2024-03-26 16:00:00+00:00
2024-11-25 03:20:15,464 - Sell to close 1337.00 shares at 109.49 on 2024-03-26 16:15:00+00:00 (Exit: Signal, Profit: 621.3299999999846, Duration: 120.0 minutes)
2024-11-25 03:20:15,464 - Long Buy 181.00 shares at 108.2 on 2024-03-26 16:30:00+00:00
2024-11-25 03:20:15,464 - Long Buy 177.00 shares at 108.36 on 2024-03-26 16:45:00+00:00
2024-11-25 03:20:15,464 - Long Buy 174.00 shares at 107.8 on 2024-03-26 17:00:00+00:00
2024-11-25 03:20:15,464 - Long Buy 170.00 shares at 108.06 on 2024-03-26 17:15:00+00:00
2024-11-25 03:20:15,464 - Long Buy 167.00 shares at 107.73 on 2024-03-26 17:30:00+00:00
2024-11-25 03:20:15,464 - Long Buy 164.00 shares at 107.99 on 2024-03-26 17:45:00+00:00
2024-11-25 03:20:15,464 - Long Buy 160.00 shares at 108.35 on 2024-03-26 18:00:00+00:00
2024-11-25 03:20:15,464 - Long Buy 157.00 shares at 108.23 on 2024-03-26 18:15:00+00:00
2024-11-25 03:20:15,464 - Long Buy 154.00 shares at 107.77 on 2024-03-26 18:30:00+00:00
2024-11-25 03:20:15,464 - Long Buy 151.00 shares at 107.94 on 2024-03-26 18:45:00+00:00
2024-11-25 03:20:15,464 - Long Buy 149.00 shares at 107.44 on 2024-03-26 19:00:00+00:00
2024-11-25 03:20:15,464 - Long Buy 145.00 shares at 107.63 on 2024-03-26 19:15:00+00:00
2024-11-25 03:20:15,464 - Long Buy 143.00 shares at 107.36 on 2024-03-26 19:30:00+00:00
2024-11-25 03:20:15,464 - Long Buy 140.00 shares at 107.37 on 2024-03-26 19:45:00+00:00
2024-11-25 03:20:15,464 - Long Buy 139.00 shares at 106.36 on 2024-03-27 13:30:00+00:00
2024-11-25 03:20:15,464 - Sell to close 2371.00 shares at 105.99 on 2024-03-27 13:45:00+00:00 (Exit: Stop_loss, Profit: -4297.160000000011, Duration: 1275.0 minutes)
2024-11-25 03:20:15,464 - Long Buy 179.00 shares at 108.9 on 2024-03-28 14:30:00+00:00
2024-11-25 03:20:15,464 - Long Buy 176.00 shares at 108.13 on 2024-03-28 15:00:00+00:00
2024-11-25 03:20:15,464 - Long Buy 174.00 shares at 107.69 on 2024-03-28 15:15:00+00:00
